,data_extracao,prefixo,ponto,placa,marca,modelo,data_primeiro_emplac,ano_fabricacao,combustivel,álcool,gasolina,GNV,elétrico
109,2020-03-12 01:58:27.228285,3162,HOSPITAL DE CLÍNICAS,IXD5334,TOYOTA,ETIOS SEDAN,2016-03-17,2016,ÁLCOOL/GASOLINA/GNV,1,1,1,0
110,2020-03-12 01:58:27.228285,1743,,IVP8574,CHEVROLET,COBALT,2014-12-31,2014,ÁLCOOL/GASOLINA/GNV,1,1,1,0
111,2020-03-12 01:58:27.228285,1214,RODOVIÁRIA,IWB3418,VW,VOYAGE,2014-11-19,2014,ÁLCOOL/GASOLINA/GNV,1,1,1,0
112,2020-03-12 01:58:27.228285,4869,AEROPORTO SALGADO FILHO,IVX2640,CHEVROLET,CRUZE,2014-09-23,2014,ÁLCOOL/GASOLINA,1,1,0,0
113,2020-03-12 01:58:27.228285,1207,24 DE OUTUBRO X HILÁRIO RIBEIRO,IXG5956,CHEVROLET,SPIN,2016-05-30,2016,ÁLCOOL/GASOLINA,1,1,0,0
114,2020-03-12 01:58:27.228285,2041,RODOVIÁRIA,IWQ3250,CHEVROLET,COBALT,2015-07-08,2014,ÁLCOOL/GASOLINA/GNV,1,1,1,0
115,2020-03-12 01:58:27.228285,1264,,IXW6190,VW,VOYAGE,2017-06-07,2017,ÁLCOOL/GASOLINA/GNV,1,1,1,0
116,2020-03-12 01:58:27.228285,2083,,IZR8D65,VW,VIRTUS,2019-10-15,2019,ÁLCOOL/GASOLINA,1,1,0,0
117,2020-03-12 01:58:27.228285,3520,,ITL4057,VW,VOYAGE,1899-12-30,2012,ÁLCOOL/GASOLINA/GNV,1,1,1,0
118,2020-03-12 01:58:27.228285,2486,SARMENTO LEITE X LIMA E SILVA,IUT6476,VW,VOYAGE,2013-09-27,2013,ÁLCOOL/GASOLINA,1,1,0,0
119,2020-03-12 01:58:27.228285,5057,CORONEL BORDINI X 24 DE OUTUBRO,IXT6822,CHEVROLET,SPIN,2017-03-29,2016,ÁLCOOL/GASOLINA/GNV,1,1,1,0
120,2020-03-12 01:58:27.228285,3344,,IWP8108,FIAT,SIENA,2015-06-24,2015,ÁLCOOL/GASOLINA/GNV,1,1,1,0
121,2020-03-12 01:58:27.228285,3451,RODOVIÁRIA,IYX2949,VW,VOYAGE,2018-11-19,2018,ÁLCOOL/GASOLINA/GNV,1,1,1,0
122,2020-03-12 01:58:27.228285,2502,BOURBON IPIRANGA,IWD3992,FIAT,SIENA,2014-12-08,2014,ÁLCOOL/GASOLINA/GNV,1,1,1,0
123,2020-03-12 01:58:27.228285,3447,HOSPITAL NOSSA SENHORA DA CONCEIÇÃO,IXQ4703,FIAT,SIENA,2017-01-12,2016,ÁLCOOL/GASOLINA/GNV,1,1,1,0
124,2020-03-12 01:58:27.228285,1795,,IVZ0082,FIAT,SIENA,2014-10-15,2014,ÁLCOOL/GASOLINA/GNV,1,1,1,0
125,2020-03-12 01:58:27.228285,3428,,IUI2620,CHEVROLET,COBALT,2013-05-17,2013,ÁLCOOL/GASOLINA/GNV,1,1,1,0
126,2020-03-12 01:58:27.228285,3268,SANTA CECÍLIA X  IPIRANGA (ZAFFARI),QNQ5D07,VW,VOYAGE,2019-03-01,2017,ÁLCOOL/GASOLINA,1,1,0,0
127,2020-03-12 01:58:27.228285,5083,RODOVIÁRIA,IXW6385,CHEVROLET,SPIN,2017-06-09,2016,ÁLCOOL/GASOLINA/GNV,1,1,1,0
128,2020-03-12 01:58:27.228285,3478,TRIBUNAL DE JUSTIÇA ESTADUAL,IQR8539,FIAT,PALIO,1899-12-30,2010,ÁLCOOL/GASOLINA,1,1,0,0
129,2020-03-12 01:58:27.228285,4438,SÃO LUIZ X IPIRANGA,IZV0E41,VW,VOYAGE,2019-11-13,2019,ÁLCOOL/GASOLINA,1,1,0,0
130,2020-03-12 01:58:27.228285,4941,RODOVIÁRIA,IUN8836,FIAT,SIENA,2013-07-22,2013,ÁLCOOL/GASOLINA/GNV,1,1,1,0
131,2020-03-12 01:58:27.228285,1627,,IPM2259,FIAT,SIENA,2009-01-27,2008,ÁLCOOL/GASOLINA/GNV,1,1,1,0
132,2020-03-12 01:58:27.228285,4917,HOFFMANN X CRISTÓVÃO COLOMBO,ITK3544,FIAT,SIENA,2012-08-15,2012,ÁLCOOL/GASOLINA/GNV,1,1,1,0
133,2020-03-12 01:58:27.228285,4193,RAMIRO BARCELOS X FREDERICO LINK,IYS9618,CHEVROLET,COBALT,2018-09-04,2018,ÁLCOOL/GASOLINA/GNV,1,1,1,0
134,2020-03-12 01:58:27.228285,3838,,IYQ3132,VW,VOYAGE,2018-07-13,2018,ÁLCOOL/GASOLINA/GNV,1,1,1,0
135,2020-03-12 01:58:27.228285,4433,GETULIO VARGAS,IZS0H40,TOYOTA,YARIS SEDAN,2019-10-31,2019,ÁLCOOL/GASOLINA/GNV,1,1,1,0
136,2020-03-12 01:58:27.228285,3303,BOURBON IPIRANGA,IZP8F11,TOYOTA,ETIOS SEDAN,2019-09-13,2019,ÁLCOOL/GASOLINA/GNV,1,1,1,0
137,2020-03-12 01:58:27.228285,1445,HOSPITAL DA PUC,IYV0664,CHEVROLET,PRISMA,2018-10-09,2018,ÁLCOOL/GASOLINA/GNV,1,1,1,0
138,2020-03-12 01:58:27.228285,1792,RODOVIÁRIA,IWA7590,TOYOTA,ETIOS SEDAN,2014-11-05,2014,ÁLCOOL/GASOLINA,1,1,0,0
139,2020-03-12 01:58:27.228285,4796,JOÃO PESSOA (CENTRO COMERCIAL),AZL7A97,RENAULT,LOGAN,2015-12-31,2015,ÁLCOOL/GASOLINA,1,1,0,0
140,2020-03-12 01:58:27.228285,2327,CORONEL BORDINI X 24 DE OUTUBRO,IZP7H31,FIAT,CRONOS,2019-09-12,2019,ÁLCOOL/GASOLINA,1,1,0,0
141,2020-03-12 01:58:27.228285,3668,FERNANDES VIEIRA X VASCO DA GAMA,ITK0843,FIAT,PALIO,2012-08-11,2012,ÁLCOOL/GASOLINA,1,1,0,0
